When-Taking-Survey,Information,Atmosphere,Skills,Material,Recommend,Worth,Pace,Balance,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Communicators,Instructors-Enthusiastic,Helpers-Clear-Answers,Helpers-Considerate,Helpers-Communicators,Helpers-Enthusiastic,Enough-Helpers,New-Information,Unix-Shell-Pre,Unix-Shell-Perception,Git-Pre,Git-Perception,Python-Pre,Python-Perception,R-Pre,R-Perception,SQL-Pre,SQL-Perception,Unix-Shell-Knowledge-Increase,Unix-Shell-Intimidating,Git-Knowledge-Increase,Git-Intimidating,Python-Knowledge-Increase,Python-Intimidating,R-Knowledge-Increase,R-Intimidating,SQL-Knowledge-Increase,SQL-Intimidating,After-Unix-Shell-Motivation,After-Git-Motivation,After-Python-Motivation,After-R-Motivation,After-SQL-Motivation,Pipes-Before-Workshop,Pipes-After-Workshop,Loops-Before-Workshop,Loops-After-Workshop,"Git-Repo-Before-Workshop
",Git-Repo-After-Workshop,Function-Before-Workshop,Function-After-Workshop,Import-Library-Before-Workshop,Import-Library-After-Workshop,Unit-Test-Before-Workshop,Unit-Test-After-Workshop,SQL-Query-Before-Workshop,SQL-Query-After-Workshop,Status,Status-Other,Research-Domain-1,Research-Domain-2,Research-Domain-3,Research-Domain-4,Research-Domain-5,Research-Domain-6,Research-Domain-7,Research-Domain-8,Research-Domain-9,Research-Domain-10,Research-Domain-11,Research-Domain-12,Research-Domain-13,Research-Domain-14,Research-Domain-15,Research-Domain-16,Research-Domain-Other,Workshop-in-US,Likely-to-Recommend
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Yes,Some of it,Some knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Slightly intimidating to me,Knowledge increased slightly,No change - (Not less or more intimidating),Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,Yes,Confidence increased slightly,Maybe,Confidence increased a bit,Yes,Confidence increased a bit,Maybe,Confidence increased a bit,Yes,Confidence increased a bit,Maybe,N/A - Not covered at workshop,Yes,N/A - Not covered at workshop,Post-doctoral researcher,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,Yes,10
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Too slow,Too much lecture,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Often,Often,Yes,Some of it,Some knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,,N/A or No opinion,,N/A or No opinion,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased a little,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,More motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,Yes,No change in confidence,No,Confidence increased greatly,No,Confidence increased greatly,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,No,N/A - Not covered at workshop,Undergraduate Student,,,"Civil, mechanical, chemical, or nuclear engineering",,,,,,,,,,,,,,,,Yes,6
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,No increase in my knowledge,N/A - Not covered at this workshop,Knowledge increased slightly,Became slightly less intimidating,No increase in my knowledge,No change - (Not less or more intimidating),Knowledge increased a great deal,Became slightly less intimidating,No increase in my knowledge,N/A - Not covered at this workshop,N/A - Topic not covered,No change in motivation,N/A - Topic not covered,Much more motivated,N/A - Topic not covered,No,N/A - Not covered at workshop,No,Confidence increased a bit,No,N/A - Not covered at workshop,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased a bit,No,N/A - Not covered at workshop,Graduate Student,,,,,,,,,,,,,,,Psychology,,,,No,10
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Some knowledge of topic,Not at all intimidating,,,,,Knowledge increased a little,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased slightly,No change - (Not less or more intimidating),,,,,No change in motivation,More motivated,No change in motivation,,,Yes,Confidence increased a bit,Yes,Confidence increased slightly,Yes,Confidence increased greatly,Yes,No change in confidence,Yes,No change in confidence,Yes,Confidence increased greatly,,,Graduate Student,,,,,,,,,,,Mathematics/statistics,,,,,,,,No,8
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Agree,Agree,Agree,Agree,Slightly slow,Slightly too much lecture,Often,Often,Sometimes,Often,Often,Often,Often,Often,Yes,About half of it,Some knowledge of topic,Not at all intimidating,Some knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,,N/A or No opinion,,N/A or No opinion,Knowledge increased a great deal,Became much less intimating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a great deal,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased a bit,Maybe,Confidence increased a bit,Yes,No change in confidence,Maybe,Confidence increased a bit,Yes,Confidence increased a bit,No,Confidence increased a bit,,N/A - Not covered at workshop,Graduate Student,,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,,,,,No,8
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly slow,Slightly too much lecture,Often,All of the time,Sometimes,Sometimes,Often,All of the time,Often,Often,Yes,About half of it,Some knowledge of topic,,Some knowledge of topic,,Little or no knowledge of topic,,,,,,Knowledge increased slightly,,Knowledge increased slightly,,Knowledge increased a little,,,,,,No change in motivation,No change in motivation,No change in motivation,,,Yes,No change in confidence,Yes,No change in confidence,No,No change in confidence,Yes,No change in confidence,Yes,Confidence increased slightly,,,,,Undergraduate Student,,,"Civil, mechanical, chemical, or nuclear engineering",,,,,,,,,,,,,,,,Yes,
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,Often,All of the time,Often,All of the time,Yes,All of it,Little or no knowledge of topic,,Little or no knowledge of topic,,Little or no knowledge of topic,,Little or no knowledge of topic,,Little or no knowledge of topic,,Knowledge increased a little,,Knowledge increased a little,,Knowledge increased a little,,Knowledge increased a little,,Knowledge increased a little,,More motivated,More motivated,More motivated,More motivated,More motivated,No,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased slightly,Undergraduate Student,,Chemistry,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,Physics,,,,,,Yes,9
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Agree,Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),Sometimes,Often,Rarely,Often,Often,Often,Often,Often,Yes,Most of it,Little or no knowledge of topic,,Little or no knowledge of topic,,Some knowledge of topic,,,,,,Knowledge increased a little,,Knowledge increased a little,,Knowledge increased a little,,,,,,More motivated,More motivated,More motivated,N/A - Topic not covered,N/A - Topic not covered,No,No change in confidence,Maybe,Confidence increased slightly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased a bit,No,,,,Undergraduate Student,,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,,,,,Yes,7
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Agree,Agree,Agree,Agree,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,Often,Often,All of the time,All of the time,Often,Often,Yes,Some of it,Some knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,Some knowledge of topic,Not very intimidating,Knowledge increased a little,Became much less intimating,Knowledge increased a little,Became much less intimating,Knowledge increased slightly,Became slightly less intimidating,N/A - Not covered at this workshop,,N/A - Not covered at this workshop,,Much more motivated,More motivated,More motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,Yes,No change in confidence,Yes,No change in confidence,No,No change in confidence,No,N/A - Not covered at workshop,Undergraduate Student,,,,,,,,,,,,,Physics,,,,,,Yes,8
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),Often,Often,Often,Often,Often,Often,Often,Often,Yes,Most of it,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,,N/A or No opinion,,N/A or No opinion,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,,N/A - Not covered at this workshop,,More motivated,More motivated,More motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,Yes,No change in confidence,No,Confidence increased greatly,No,Confidence increased greatly,,N/A - Not covered at workshop,Post-doctoral researcher,,,,,,,,,,,,,Physics,,,,,,Yes,9
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,Often,Often,Often,All of the time,Often,Often,Yes,About half of it,Some knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Very intimidating to me,Some knowledge of topic,Slightly intimidating to me,,,,,Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased slightly,No change - (Not less or more intimidating),,,,,More motivated,Much more motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased slightly,Yes,Confidence increased a bit,No,Confidence increased slightly,Yes,Confidence increased a bit,Yes,Confidence increased a bit,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Undergraduate Student,,,,,,,,,,Library and information science,,,,,,,,Materials Science Data Management,Yes,9
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Just right,Slightly too much lecture,Sometimes,Often,Often,Often,Sometimes,Often,Often,Often,Yes,None of it,Extensive knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not very intimidating,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Not very intimidating,No increase in my knowledge,No change - (Not less or more intimidating),Knowledge increased slightly,No change - (Not less or more intimidating),Knowledge increased slightly,No change - (Not less or more intimidating),N/A - Not covered at this workshop,No change - (Not less or more intimidating),N/A - Not covered at this workshop,No change - (Not less or more intimidating),No change in motivation,No change in motivation,No change in motivation,N/A - Topic not covered,N/A - Topic not covered,Yes,No change in confidence,Yes,No change in confidence,Yes,Confidence increased slightly,Yes,No change in confidence,Yes,No change in confidence,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Graduate Student,,,,,,,,,,,,,Physics,,,,,,Yes,7
