When-Taking-Survey,First-Time,Status,Status-Other,Department,Discipline,Discipline-Other,OS,With-Friend,Programming-Usage,Column4,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Civil and Environmental Engineering,Chemistry,,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Agree,Agree,Agree,Agree,How to better analyze my data,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Institute for Clinical and Translational Research,Medicine,,Windows,No,Less than once a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access",I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Neutral,Neutral,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,,"Earth sciences (geology, oceanography, meterorology)",,Windows,No,,,,,,,,,,,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,CRUK-CI,"Life science (biology, genetics)",,Apple OS,No,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Agree,Agree,Agree,Agree,I hope to learn/recap some of the basics of data management. I find it difficult trying to organise my data in a consist workflow.,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,"Physiology, Development and Neurosciences","Life science (biology, genetics)",,Apple OS,No,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Agree,Strongly agree,Agree,Agree,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Forest and Wildlife Ecology,"Life science (ecology, zoology, botany)",,Windows,Not sure,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Neutral,Not sure,Agree,Agree,Agree,Agree,I'm hoping to get a good overview of the various programs and more of a working handle on them. I hope that this will allow me to work with my own data more effectively and efficiently and possibly improve my future data entry techniques. ,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Forestry and Wildlife,"Earth sciences (geology, oceanography, meterorology)",,Windows,Not sure,Daily,,MATLAB,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,"familiar with the workflow of data management, get to know about R programming",Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Entomology,"Life science (biology, genetics)",,Windows,Yes,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Not sure,Unsatisfied,Strongly agree,Agree,Strongly agree,Neutral,"Methods for curating data during prolonged analyses by multiple people, all of whom are just learning what they're doing while doing it.",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,biochemistry,"Life science (biology, genetics)",,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Basic beginner's level data analysis skills,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Cancer Research UK Cambridge Institute,Medicine,,Apple OS,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Very unsatisfied,Very unsatisfied,Strongly agree,Agree,Neutral,Agree,Approach to data management; improved use of Excel; introduction to data analysis within R,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Chemical and Systems Biology,"Life science (biology, genetics)",,Apple OS,Not sure,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,Brain and neurosciencse,,Windows,No,I have never programmed,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,A basic understanding and introduction to the benefits and concepts surrounding data management and programming. ,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Radiology,Medicine,,Apple OS,No,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Improve understanding of databases such as SQL.  Improve use of R packages such as dplyr and tidyr,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Bioengineering,"Engineering (civil, mechanical, chemical)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Unsatisfied,Agree,Agree,Agree,Neutral,Practical skills that can be used to manage and analyze data in general.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,,"Life science (biology, genetics)",,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Satisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,,,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Department of Pathology and Laboratory Medicine,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Satisfied,Unsatisfied,Strongly agree,Agree,Neutral,Agree,New ways to analyze data.,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,School of Library and Information Studies & Wisconsin Center for Film & Theater Research,Humanities,,Apple OS,Not sure,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access","Yes, and I've already done a fair bit of analysis.",Satisfied,Neutral,Strongly agree,Agree,Neutral,Neutral,Scripting tools for analyzing data more powerfully. A better idea at where researchers are at in terms of working with their data and how archivists might help with this work.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Forest and Wildlife Ecology,"Life science (ecology, zoology, botany)",,Windows,No,Daily,,R,"Yes, and I've already done a fair bit of analysis.",Neutral,Satisfied,Agree,Strongly agree,Strongly agree,Agree,Methods for managing data that will ultimately make my work more efficient and of higher quality,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Department of Zoology,"Life science (ecology, zoology, botany)",,Windows,No,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB",I am working on generating data.,Unsatisfied,Not applicable,Strongly agree,Strongly agree,Agree,Agree,,No
I am taking this survey before coming to the workshop,Yes,Staff,,Haematology,"Life science (biology, genetics)",,Not sure,Yes,Monthly,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would like to be able to bring uniformity to data so that it can be analysed in an efficient manner.,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Cancer biology,"Life science (biology, genetics)",,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,how to structure and archive data   basic common analysis workflows  ,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,CRUK CI,"Life science (biology, genetics)",,Apple OS,No,I have never programmed,,,"Yes, I have data but I haven't started analyzing it yet.",Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,get a better insight into R and how to analyse my data myself,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Small RNAs and Mammalian Genomics,"Life science (biology, genetics)",,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No
I am taking this survey before coming to the workshop,Yes,Faculty,,"Dept of Plant Sciences, Cambridge University","Life science (ecology, zoology, botany)",,Apple OS,Not sure,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Data CArpentry!,No
I am taking this survey before coming to the workshop,Yes,Other (please specify),staff member of an affiliated insititution - Fauna & Flora International,Knowledge Management Officer,"Tech support, lab tech, or support programmer",,Windows,No,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access",I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Agree,Neutral,Neutral,Insights on effective data management as well as guidance on data analysis tools.,No
I am taking this survey before coming to the workshop,Yes,Post-doc,,Clinical Biochemistry,"Life science (biology, genetics)",,Apple OS,No,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python",I am working on generating data.,Unsatisfied,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,dta management strategy,No
I am taking this survey before coming to the workshop,No,Graduate Student,,Chem Eng and Biotech,Brain and neurosciencse,,Windows,No,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Forest Ecology,"Life science (ecology, zoology, botany)",,Windows,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python","Yes, and I've already done a fair bit of analysis.",Satisfied,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,How to supplement my R work with other programs for data cleaning,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Civil and Environmental Engineering,"Engineering (civil, mechanical, chemical)",,Windows,No,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,SQL",I do not have data yet.,Not sure,Not sure,Agree,Agree,Agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (biology, genetics)",,Windows,No,Several times a year,,Python,I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,,Yes
